Unnamed: 0,0
tranquility,4.039164221520088e-06
yogurt,2.7931265634213247e-06
airplane,4.869212451376587e-06
esthetic,3.2865914495501274e-06
aging,1.683639829000208e-06
aluminum,1.173658988728589e-05
amortization,2.335416753938069e-05
amortize,4.682622083627409e-06
anemia,3.2131454187203465e-06
analog,2.912487598809514e-06
analyze,2.1224773799394534e-05
annex,4.3751687029396876e-06
apologize,1.8944726878319223e-05
archeological,3.3905546221514683e-06
armor,2.1821859889986587e-06
armored,7.880667382853478e-06
artifact,5.517138889244897e-06
authorization,7.838490918810425e-06
authorize,2.397171385001828e-05
authorized,4.711657033112502e-06
ax,6.097713029763703e-06
behavior,5.722237979937231e-05
behavioral,4.112657941344119e-06
caliber,4.817915256855378e-06
cancelation,6.39379221897551e-05
capitalize,9.091348471829268e-06
carcass,2.288369206090642e-06
catalog,3.003634983724938e-06
categorize,5.663315716336998e-06
centralized,3.482203142537432e-06
center,0.0003170854325576028
characterization,1.4234456062526147e-06
characterize,1.8745310682238292e-05
chili,2.8557730917401973e-06
civilization,7.303718311453916e-06
color,4.384933772105674e-05
colored,2.4636795750605603e-06
colorful,8.315784195754002e-06
conceptualize,1.7614169314548566e-06
connection,6.223311489307173e-05
councilor,2.468654512166474e-05
counseling,1.2210987057801437e-05
counselor,6.920813238892338e-06
criticize,5.195512235153768e-05
customize,4.582434270012356e-06
defense,0.0001822635899180062
dispatch,1.800402589214827e-05
destabilize,9.894034160883292e-06
dialog,7.68863518046296e-05
diarrhea,4.681512503783399e-06
digitize,1.6912597949802584e-06
disk,4.728424014103461e-05
draft,0.00010352140220090237
emphasize,6.729605630363875e-05
endeavor,1.6834021799894018e-05
energize,3.0271270878461307e-06
enroll,1.9328546044587136e-05
epicenter,4.3011713514290564e-06
favor,0.00011450053844126186
favorable,4.989746909237838e-05
favorably,3.0051324241040634e-05
favorite,3.3075380000808256e-05
fertilizer,3.252578279226618e-05
fiber,2.1966477768676146e-05
finalize,2.6558071436023118e-05
flavor,9.117250037422639e-06
fetal,1.2117966464295688e-06
fetus,3.2935327493395027e-06
fulfill,4.3995025836727636e-05
fulfillment,8.599202270436865e-06
galvanize,6.174132941778945e-06
gage,7.922363786789368e-06
globalization,3.918274794838531e-06
gram,8.66704270052939e-06
gray,6.5259477097691235e-06
hematological,3.4860993200539196e-07
harbor,1.1139256152314276e-05
harmonize,8.063268648718692e-06
honor,8.165124338030047e-05
honorable,1.3299689875334499e-05
hospitalization,2.4713377607177835e-06
hospitalize,8.781634541014027e-06
humor,3.1880421383902382e-06
immunization,9.07182516357107e-06
install,4.8865128163149114e-05
installment,8.798411954653691e-06
instill,5.748015186709866e-06
jeopardize,5.454125899514374e-06
jeweler,2.326954731429777e-06
jewelry,1.1833900008035434e-05
judgment,7.156841852043588e-05
kilogram,3.122554944843102e-05
kilometer,0.00017425113680982887
labeling,1.0614352683909766e-06
labor,7.110545849606443e-05
laborer,1.012162075203684e-05
leukemia,1.9334898317360435e-06
liberalization,4.157328754824107e-06
license,7.405812265434579e-05
licensed,3.8704643213014685e-06
licensing,1.055970357199537e-05
liter,5.0894890729705744e-05
localize,3.7404672826054733e-06
maneuver,5.076736935796492e-06
marginalize,7.3056536579441174e-06
materialize,5.9169022069096005e-06
